maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,pressure,visibility,winddirDegree,windspeedKmph,tempC,precipMM,precipInch
29,15,0,10.9,6,31,2,20,20,21,21,3,30,1015,10,124,12,29,0,0
29,14,0,10.9,6,38,3,20,20,20,17,11,32,1014,10,89,9,29,0,0
31,16,0,10.9,6,45,5,24,24,24,16,0,29,1014,10,165,9,31,0,0
28,15,0,10.9,6,52,10,24,24,24,11,0,45,1014,10,294,6,28,0,0
27,16,0,10.9,6,60,11,22,22,22,16,13,52,1012,10,331,9,27,0,0
28,15,0,10.9,6,67,3,21,21,21,22,6,30,1013,10,136,12,28,0,0
28,15,0,10.9,6,74,2,20,20,21,25,1,30,1015,10,105,15,28,0,0
27,14,0,10.9,6,82,5,20,20,20,30,3,40,1017,10,48,18,27,0,0
28,16,0,10.9,6,89,11,22,22,21,28,14,52,1017,10,116,17,28,0,0
29,17,0,10.9,6,96,11,23,23,23,22,3,49,1017,10,144,14,29,0,0
30,18,0,10.9,7,100,11,23,23,23,22,14,49,1016,10,67,13,30,0,0
31,18,0,10.9,7,89,12,24,24,24,18,9,47,1017,10,119,10,31,0,0
32,19,0,10.9,7,82,12,25,25,25,17,8,48,1018,10,77,10,32,0,0
31,20,0,10.9,7,75,12,26,26,25,16,14,44,1019,10,87,9,31,0,0
32,21,0,10.9,7,68,12,27,27,26,16,10,44,1017,10,117,9,32,0,0
33,23,0,10.9,7,60,10,27,27,27,18,11,36,1017,10,164,12,33,0,0
32,21,0,10.9,7,53,10,26,26,26,16,21,40,1016,10,312,9,32,0,0
30,19,0,10.9,7,46,10,24,24,24,21,8,42,1015,10,336,12,30,0,0
30,18,0,11,7,38,9,24,24,24,21,6,40,1016,10,28,13,30,0,0
30,19,0,11,7,31,10,24,24,24,20,16,43,1015,10,53,12,30,0,0
27,20,0,10.1,5,24,9,24,24,23,19,34,41,1016,10,27,11,27,0,0
32,18,0,11,7,17,6,24,24,24,17,26,31,1014,10,116,9,32,0,0
33,19,0,11,7,9,3,24,24,24,21,33,26,1013,10,55,12,33,0,0
33,19,0,11,6,2,4,24,24,25,22,42,26,1011,10,119,12,33,0,0
31,18,0,11,7,0,10,26,26,26,16,2,37,1012,10,288,10,31,0,0
28,16,0,11,6,0,8,23,23,24,15,0,40,1013,10,308,10,28,0,0
30,14,0,11,6,5,6,24,24,24,14,0,31,1014,10,203,8,30,0,0
31,16,0,11,6,12,2,23,23,24,20,0,25,1013,10,150,11,31,0,0
31,15,0,11,7,20,-1,23,23,24,19,6,20,1013,10,171,10,31,0,0
31,16,0,11.1,7,27,-1,23,23,24,20,0,20,1014,10,187,12,31,0,0
31,16,0,11.1,6,31,5,23,23,24,18,0,32,1013,10,105,10,31,0,0
32,15,0,11.1,7,43,5,24,24,25,15,0,29,1014,10,140,9,32,0,0
32,15,0,11.1,7,50,3,25,25,26,13,0,23,1014,10,224,7,32,0,0
31,15,0,11.1,6,58,5,24,24,25,12,0,30,1014,10,309,7,31,0,0
32,16,0,11.1,7,66,11,26,26,26,14,2,40,1013,10,293,8,32,0,0
30,16,0,11.1,7,73,11,25,25,25,13,1,45,1014,10,303,8,30,0,0
31,16,0,11.1,6,81,9,25,25,25,13,0,39,1015,10,315,8,31,0,0
31,16,0,11.1,7,88,3,24,24,24,19,0,26,1015,10,121,12,31,0,0
33,16,0,11.2,7,96,4,25,25,25,19,0,27,1015,10,139,11,33,0,0
32,14,0,11.2,7,100,1,24,24,25,16,12,23,1014,10,315,9,32,0,0
30,16,0,11.2,7,89,4,23,23,24,24,2,29,1013,10,296,16,30,0,0
29,14,0,11.2,6,82,4,23,23,24,14,2,29,1014,10,257,9,29,0,0
30,15,0,11.2,6,74,5,23,23,24,15,1,32,1013,10,162,9,30,0,0
30,14,0,11.2,7,67,6,23,23,23,10,16,34,1011,10,293,6,30,0,0
31,16,0,11.2,7,59,13,25,25,25,14,7,52,1012,10,302,8,31,0,0
32,18,0,11.2,7,51,5,25,25,25,18,3,28,1013,10,151,10,32,0,0
33,17,0,11.3,7,44,1,24,24,25,20,2,22,1013,10,165,11,33,0,0
34,18,0,11.3,7,36,0,26,26,27,19,2,19,1013,10,190,11,34,0,0
34,17,0,11.3,7,29,1,26,26,27,17,6,20,1012,10,174,10,34,0,0
35,18,0,11.3,7,21,4,27,27,28,17,0,22,1011,10,157,10,35,0,0
37,19,0,11.3,8,14,2,28,28,29,18,4,18,1012,10,170,10,37,0,0
38,22,0,11.3,8,6,1,29,29,30,20,10,16,1012,10,196,11,38,0,0
37,20,0,11.3,8,0,1,29,29,30,15,10,16,1009,10,186,8,37,0,0
36,20,0,11.3,7,0,2,27,27,28,19,18,19,1009,10,286,12,36,0,0
35,19,0,11.4,7,0,10,28,28,28,18,2,32,1010,10,279,12,35,0,0
36,20,0,11.4,8,1,13,30,30,30,10,0,39,1010,10,289,7,36,0,0
38,20,0,11.4,8,9,10,31,31,31,15,0,30,1009,10,270,9,38,0,0
37,20,0,11.4,8,16,8,30,30,30,16,0,29,1011,10,281,11,37,0,0
38,21,0,11.4,8,24,5,30,30,30,16,1,23,1011,10,315,10,38,0,0
38,21,0,11.4,8,30,9,32,32,32,14,0,25,1010,10,275,9,38,0,0
39,22,0,11.4,8,37,5,31,31,32,16,0,20,1010,10,300,10,39,0,0
39,21,0,11.4,8,45,6,31,31,32,18,0,23,1010,10,280,11,39,0,0
37,20,0,11.6,8,52,11,30,30,31,15,2,34,1010,10,281,10,37,0,0
37,20,0,11.6,8,59,7,30,30,30,15,0,26,1010,10,291,10,37,0,0
37,19,0,11.6,8,67,7,29,29,30,19,0,27,1010,10,270,12,37,0,0
34,19,0,11.6,7,74,10,28,28,29,13,0,34,1011,10,303,9,34,0,0
36,19,0,11.6,8,81,7,29,29,30,14,0,28,1009,10,292,9,36,0,0
36,18,0,11.6,8,88,-1,29,29,30,13,0,14,1011,10,245,8,36,0,0
38,20,0,11.6,8,96,-2,30,30,31,13,0,13,1011,10,159,8,38,0,0
41,20,0,11.6,8,100,-2,30,30,31,15,3,13,1012,10,229,9,41,0,0
40,22,0,10.2,7,90,-2,30,30,31,15,15,12,1011,10,238,9,40,0,0
39,20,0,11.6,8,83,-4,31,31,32,15,7,10,1012,10,203,9,39,0,0
37,24,0,11.6,8,75,4,31,31,32,11,7,18,1012,10,215,6,37,0,0
39,21,0,11.6,8,68,5,32,32,33,10,0,21,1010,10,249,6,39,0,0
